Route_Num,Route_Name,Origin_Phonetic,Destination_Phonetic,Origin_Semantic,Destination_Semantic
1,Kinnear - Downtown Seattle,,??????,,??????
2,W QA - Downtown - Madrona Pk,,,,
3,N QA - CBD - Madrona,,,,
4,E QA - CBD - Judkins Pk,,,,
5,Shoreline CC to Greenwood to Downtown Seattle,,??????,,??????
7,Prentice St - Rainier Bch - Downtown Sea,,??????,,??????
8,Seattle Center to Capitol Hill to Rainier Beach,,,,
9,Rainier Beach to Columbia City to Broadway,,,,
10,Capitol Hill - Downtown Seattle,,??????,,??????
11,Madison Park to Capitol Hill to Downtown Seattle,,??????,,??????
12,Interlaken Pk - First Hill - Downtown Sea,,??????,,??????
13,Seattle Pacific - Downtown Seattle,,??????,,??????
14,Mt Baker - Downtown Seattle,,??????,,??????
15,Blue Ridge to Crown Hill to Downtown Seattle,,??????,,??????
17,Loyal Heights to Sunset Hill to Ballard to Downtow,,??????,,??????
18,North Beach to Ballard to Downtown Seattle,,??????,,??????
19,Magnolia,,,,
21,Arbor Heights Westwood Village to Downtown Seattle,,??????,,??????
22,Westwood Village to Shorewood to Gatewood to Alask,,,,
24,West Magnolia to Downtown Seattle,,??????,,??????
26,East Green Lake to Downtown Seattle,,??????,,??????
27,Colman Park to Downtown Seattle,,??????,,??????
28,Whittier Heights to Fremont to Downtown Seattle,,??????,,??????
29,Ballard to SPU to Queen Anne to Downtown Seattle,,??????,,??????
31,U-District to Fremont to Central Magnolia,,,,
32,U-District to Fremont to Interbay to Sea Center W,,,,
33,Discovery Park to Downtown Seattle,,??????,,??????
36,Othello Stn - Beacon Hill - Downtown Sea,,??????,,??????
37,Alaska Junction to Alki to Downtown Seattle,,??????,,??????
40,Northgate TC to Ballard to Fremont to Westlake,,,,
41,Lake City to Northgate TC to Downtown Seattle,,??????,,??????
43,U Dist - Montlake - Capitol Hill - Downtown,,??????,,??????
44,Ballard - Montlake,,,,
45,Loyal Heights to University District,,,,
47,Summit - Downtown Seattle,,??????,,??????
48,Mt Baker to University District,,,,
49,U Dist - Broadway - Downtown Sea,,??????,,??????
50,Alki to West Sea/SODO/Beacn Hill/VA Hosp/ Col City,,,,
55,Admiral District to Alaska Junction to Downtown Se,,??????,,??????
56,Alki to Admiral District to Downtown Seattle,,??????,,??????
57,Alaska Junction to Genesee Hill to Admiral Distric,,,,
60,Westwood Village to Georgetown to Broadway,,,,
62,CBD-Sand Point,,,,
63,Northgate TC to First Hill,,,,
64,Lake City to Downtown Seattle to First Hill,,,,
65,Lake City  to University District,,,,
67,Northgate TC to Roosevelt to University District,,,,
70,University District to Eastlake to CBD,,,,
71,Wedgwood to University District to CBD,,,,
73,Jackson Park to University District to CBD,,,,
74,Peak hr express fr Sand Point to Downtown Seattle,,??????,,??????
75,Northgate TC to Lake City to Sand Pt to U-District,,,,
76,Wedgwood to Downtown Seattle,,??????,,??????
77,North City to Downtown Seattle,,??????,,??????
78,Laurelhurst to U-Link Station,,,,
82,Downtown Seattle to Queen Anne to Green Lake to Gr,??????,,??????,
83,Downtown Seattle to University District to Maple L,??????,,??????,
84,Downtown Seattle to Madison Park to Madrona,??????,,??????,
99,International District to Pioneer Sq to Belltown,,,,
101,Renton TC to Downtown Seattle,,??????,,??????
102,Fairwood to Downtown Seattle,,??????,,??????
105,Renton Highlands to Renton,,,,
106,Renton/Skyway/MLK/Intl Dist,,,,
107,Renton TC to Beacon Hill,,,,
111,Lake Kathleen to Downtown Seattle,,??????,,??????
113,Shorewood to Downtown Seattle,,??????,,??????
114,Renton Highlands to Downtown Seattle,,??????,,??????
116,Fauntleroy Ferry to Downtown Seattle,,??????,,??????
118,Tahlequah to Vashon to Downtown Seattle,,??????,,??????
119,Dockton to Vashon to Downtown Seattle,,??????,,??????
120,Burien TC - Westwood Village - Downtown Sea,,??????,,??????
121,Highline College to Marine View to BurienTC to CBD,,,,
122,Highline College to Burien TC to CBD,,,,
123,Gregory Heights to Burien TC to Downtown Seattle,,??????,,??????
124,Tukwila International Blvd Sta to Downtown Seattle,,??????,,??????
125,Westwood Village to SSC to Downtown Seattle,,??????,,??????
128,Southcenter/S Seattle Coll/Alaska Junc/Admirl Dist,,,,
131,Burien TC to Georgetown to Downtown Seattle,,??????,,??????
132,Burien TC to South Park to Downtown Seattle,,??????,,??????
143,Black Diamond to Downtown Seattle,,??????,,??????
148,Fairwood - S.Renton Hub Shuttle.,,,,
150,Kent Rail Sta/Southcenter/Downtown Seattle,,??????,,??????
153,Kent/Renton Shuttle,,,,
154,Tukwila Station to Boeing Industrial,,,,
156,Southcenter/Sea Tac/Des Moines/Highline Coll,,,,
157,Lake Meridian P&R to Downtown Seattle,,??????,,??????
158,Kent East Hill to Downtown Seattle,,??????,,??????
159,Timberlane/Lake Mer P&R/Kent Rail Sta/DT Seattle,,??????,,??????
164,Green River Community College to Kent Rail Station,,,,
166,Kent Rail Sta/Highline Coll/Des Moines/Burien TC,,,,
167,South Renton P&R to University District,,,,
168,Maple Valley to Kent Rail Station,,,,
169,Kent Rail Station to Renton TC,,,,
177,Federal Way P&R Via I-5,,,,
178,Federal Way P&R/Federal Way TC/Downtown Seattle,,??????,,??????
179,Twin Lakes P&R to Downtown Seattle,,??????,,??????
180,Auburn Sounder/Kent Sounder/Sea Tac/Burien,,,,
181,Twin Lakes P&R/Auburn Station/Green River CC,,,,
182,Northeast Tacoma to Federal Way TC,,,,
183,Federal Way TC to Star Lake to Kent Rail Station,,,,
186,Enumclaw - Griffin Wells to Auburn Station,,,,
187,Federal Way/Twin Lakes,,,,
190,Redondo Heights P&R/Star Lake/Downtown Seattle,,??????,,??????
192,Star Lake to Downtown Seattle,,,,
193,Federal Way P&R to First Hill,,,,
197,Twin Lakes P&R to University District,,,,
200,Downtown Issaquah to North Issaquah,,,,
201,South Mercer Island to West Mercer to M.I. P&R,,,,
204,South Mercer Island to Island Crest to M.I. P&R,,,,
208,North Bend to Issaquah TC,,,,
212,Eastgate P&R to Downtown Seattle,,,,
214,Issaquah to Downtown Seattle,,,,
216,Bear Creek P&R to Sammamish to Downtown Seattle,,??????,,??????
217,Downtown Seattle to North Issaquah,,,,
218,Issaquah Hlnds Downtown,,??????,,??????
219,Redmond  Issaquah Highlands P&R  Downtown Seattle,,??????,,??????
221,Education Hill to Crossroads to Eastgate,,,,
224,Duvall to Redmond TC,,,,
226,Eastgate P&R  Crossroads  Overlake to Bellevue TC,,,,
232,Duvall to Redmond TC to Overlake TC to Bellevue TC,,,,
234,Kenmore to Kirkland TC to Bellevue TC,,,,
235,Kingsgate P&R to Kirkland TC to Bellevue TC,,,,
236,Woodinville P&R to Kirkland TC,,,,
237,Woodinville P&R to Bellevue TC,,,,
238,UW/CCC Campus Bothell Totem Lake TC Kirkland TC,,,,
240,Bellevue TC to Renton TC,,,,
241,Eastgate P&R to Bellevue TC,,,,
243,Overlake TC to Kenmore P&R,,,,
244,Kenmore P&R to Overlake TC,,,,
245,Kirkland TC to Crossroads to Factoria,,,,
246,Eastgate P&R Somerset Bellevue TC Clyde Hill,,,,
248,Avondale to Redmond TC to Kirkland TC,,,,
249,Overlake TC to South Bellevue P&R,,,,
252,Kingsgate to Downtown Seattle,,,,
255,Brickyard P&R to Kirkland TC to Downtown Seattle,,??????,,??????
257,Brickyard P&R to Downtown Seattle,,??????,,??????
268,Redmond to Downtown Seattle,,??????,,??????
269,Issaquah TC to Overlake P&R,,,,
271,Issaquah to University District,,,,
277,Juanita to University District,,,,
301,Aurora Village TC to Richmond Beach to Downtown Se,,??????,,??????
303,Shoreline - NTC - First Hill,,,,
304,Richmond Beach to Downtown Seattle,,??????,,??????
308,Horizon View to Downtown Seattle,,??????,,??????
309,Kenmore P&R to South Lake Union to First Hill,,,,
311,Woodinville to Downtown Seattle,,??????,,??????
312,UW/CCC Campus to Downtown Seattle,,??????,,??????
316,Meridian Park to Downtown Seattle,,??????,,??????
330,Shoreline Community College to Lake City,,,,
331,Shoreline CC to Aurora Village TC to Kenmore P&R,,,,
342,Shoreline P&R to Renton TC,,,,
345,Shoreline Community College to Northgate TC,,,,
346,Aurora Village TC to Northgate TC,,,,
347,Mountlake Terrace to Northgate TC,,,,
348,NTC - Richmond Beach to Northgate TC,,,,
355,Shoreline Community College to Downtown Seattle,,??????,,??????
372,UW Bothell Campus to University District,,,,
373,Aurora Village TC to University District,,,,
522,ST 522 Woodinville-Seattle,,,,
540,Kirkland University District,,,,
541,Overlake P&R to U-District,,,,
542,Redmond University District,,,,
545,Redmond Seattle,,??????,,??????
550,Bellevue Seattle,,??????,,??????
554,Issaquah Seattle,,??????,,??????
555,Issaquah Northgate,,,,
556,Issaquah University District Northgate,,,,
601,Group Health Coop - CBD,,,,
628,N Bend Issaquah Highlands,,,,
630,Mercer Island First Hill Downtown,,??????,,??????
631,Burien Community Shuttle,,,,
661,North Base Shuttle and Shoreline NE 145/I5 to SODO,,,,
773,Seacrest Park to West Seattle Junction,,,,
775,Seacrest Park to Admiral District to Alki,,,,
823,Newport High School to International School,,,,
824,Newcastle Newport High School International School,,,,
886,Bellevue High School,,,,
887,Factoria to International School,,,,
888,Eastgate P&R Interlake High International School,,,,
889,Cherry Crest Sammamish Highl International School,,,,
891,Mercer Island to South Island to M.I. High School,,,,
892,Mercer Island to Mercer Island High School,,,,
893,Totem Lake TC to Lake Washington High School,,,,
894,Mercer Island HS,,,,
895,Overlake P&R to Lake Washington High School,,,,
901,Mirror Lake to Federal Way TC,,,,
903,Twin Lakes to Federal Way TC,,,,
906,Fairwood to Southcenter,,,,
907,Enumclaw to Renton TC,,,,
908,Renton Highlands to Renton TC,,,,
910,North Auburn to SuperMall,,,,
913,Kent Rail Station to Riverview,,,,
914,Downtown Kent to Kent East Hill,,,,
915,Enumclaw to Auburn Station,,,,
916,Downtown Kent to Kent East Hill to Lake Meridian,,,,
917,Pacific to Algona to Auburn Station,,,,
930,Kingsgate P&R to Redmond Town Center,,,,
931,UW /CCC Campus to Redmond TC,,,,
952,Auburn P&R to Kennydale to Boeing Everett,,,,
973,West Seattle Water Taxi - Boat Schedule,,,,
975,Vashon Passenger-Only Ferry,,,,
980,Madison Valley to Lakeside School,,,,
981,"Lakeside School, Houghton P&R",,,,
982,Bear Creek P&R to Lakeside School,,,,
984,Lakeside School to Downtown Seattle,,??????,,??????
986,Houghton P&R to Lakeside School,,,,
987,Lakeside School to Rainier Beach,,,,
988,Madrona to Lakeside School,,,,
989,Issaquah TC to Lakeside School,,,,
994,Downtown Seattle to Lakeside School,,,,
995,Laurelhurst to Lakeside School,,,,
A Line,Federal Way TC/Tukwila International Blvd Link Sta,,,,
B Line,B-Line Rapid Ride,,,,
C Line,Westwood Village to Fauntleroy Ferry to Alaska Jun,,,,
D Line,Seattle Blue Ridge to Crown Hill to Ballard to Sea,,,,
E Line,Aurora Village to Downtown Seattle,,??????,,??????
F Line,Burien/Tukwila Int'l Blvd Link Sta/Renton Landing,,,,
LINK,LINK to Sea-Tac,,,,
Redmond LOOP,Redmond Loop,,,,
Stcr FHS,First Hill Street Car,,,,
Stcr SLU,South Lake Union Streetcar,,,,
